id,name,description,date_of_birth,date_of_death
11,Oscar Wilde,"Oscar Fingal O'Flahertie Wills Wilde was an Irish playwright, poet, and author of numerous short stories, and one novel. Known for his biting wit, and a plentitude of aphorisms, he became one of the most successful playwrights of the late Victorian era in London, and one of the greatest celebrities of his day. Several of his plays continue to be widely performed, especially The Importance of Being Earnest.

As the result of a widely covered series of trials, Wilde suffered a dramatic downfall and was imprisoned for two years hard labour after being convicted of ""gross indecency"" with other men. After Wilde was released from prison he set sail for Dieppe by the night ferry. He never returned to Ireland or Britain, and died in poverty.",1854-10-16,1900-11-30
12,Emily Brontë,"Emily Jane Brontë was a British novelist and poet, now best remembered for her only novel Wuthering Heights, a classic of English literature. Emily was the second eldest of the three surviving Brontë sisters, being younger than Charlotte Brontë and older than Anne Brontë. She published under the masculine pen name Ellis Bell.

Emily was born in Thornton, near Bradford in Yorkshire to Patrick Brontë and Maria Branwell. She was the younger sister of Charlotte Brontë and the fifth of six children. In 1824, the family moved to Haworth, where Emily's father was perpetual curate, and it was in these surroundings that their literary oddities flourished. In childhood, after the death of their mother, the three sisters and their brother Patrick Branwell Brontë created imaginary lands (Angria, Gondal, Gaaldine, Oceania), which were featured in stories they wrote. Little of Emily's work from this period survived, except for poems spoken by characters (The Brontës' Web of Childhood, Fannie Ratchford, 1941).

In 1842, Emily commenced work as a governess at Miss Patchett's Ladies Academy at Law Hill School, near Halifax, leaving after about six months due to homesickness. Later, with her sister Charlotte, she attended a private school in Brussels. They later tried to open up a school at their home, but had no pupils.

It was the discovery of Emily's poetic talent by Charlotte that led her and her sisters, Charlotte and Anne, to publish a joint collection of their poetry in 1846, Poems by Currer, Ellis, and Acton Bell. To evade contemporary prejudice against female writers, the Brontë sisters adopted androgynous first names. All three retained the first letter of their first names: Charlotte became Currer Bell, Anne became Acton Bell, and Emily became Ellis Bell. In 1847, she published her only novel, Wuthering Heights, as two volumes of a three volume set (the last volume being Agnes Grey by her sister Anne). Its innovative structure somewhat puzzled critics. Although it received mixed reviews when it first came out, the book subsequently became an English literary classic. In 1850, Charlotte edited and published Wuthering Heights as a stand-alone novel and under Emily's real name.

Like her sisters, Emily's health had been weakened by the harsh local climate at home and at school. She caught a chill during the funeral of her brother in September, and, having refused all medical help, died on December 19, 1848 of tuberculosis, possibly caught from nursing her brother. She was interred in the Church of St. Michael and All Angels family capsule, Haworth, West Yorkshire, England.",1818-07-30,1848-12-19
13,William Shakespeare,"William Shakespeare (baptised 26 April 1564) was an English poet and playwright, widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet and the ""Bard of Avon"" (or simply ""The Bard""). His surviving works consist of 38 plays, 154 sonnets, two long narrative poems, and several other poems. His plays have been translated into every major living language, and are performed more often than those of any other playwright.

Shakespeare was born and raised in Stratford-upon-Avon. Scholars believe that he died on his fifty-second birthday, coinciding with St George’s Day.

At the age of 18 he married Anne Hathaway, who bore him three children: Susanna, and twins Hamnet and Judith. Between 1585 and 1592 he began a successful career in London as an actor, writer, and part owner of the playing company the Lord Chamberlain's Men, later known as the King's Men. He appears to have retired to Stratford around 1613, where he died three years later. Few records of Shakespeare's private life survive, and there has been considerable speculation about such matters as his sexuality, religious beliefs, and whether the works attributed to him were written by others.

Shakespeare produced most of his known work between 1590 and 1613. His early plays were mainly comedies and histories, genres he raised to the peak of sophistication and artistry by the end of the sixteenth century. Next he wrote mainly tragedies until about 1608, including Hamlet, King Lear, and Macbeth, considered some of the finest examples in the English language. In his last phase, he wrote tragicomedies, also known as romances, and collaborated with other playwrights. Many of his plays were published in editions of varying quality and accuracy during his lifetime, and in 1623, two of his former theatrical colleagues published the First Folio, a collected edition of his dramatic works that included all but two of the plays now recognised as Shakespeare's.

Shakespeare was a respected poet and playwright in his own day, but his reputation did not rise to its present heights until the nineteenth century. The Romantics, in particular, acclaimed Shakespeare's genius, and the Victorians hero-worshipped Shakespeare with a reverence that George Bernard Shaw called ""bardolatry"". In the twentieth century, his work was repeatedly adopted and rediscovered by new movements in scholarship and performance. His plays remain highly popular today and are consistently performed and reinterpreted in diverse cultural and political contexts throughout the world.

According to historians, Shakespeare wrote 37 plays and 154 sonnets throughout the span of his life. Shakespeare's writing average was 1.5 plays a year since he first started writing in 1589. There have been plays and sonnets attributed to Shakespeare that were not authentically written by the great master of language and literature.",,1616-04-23
14,William Golding,"People note British writer Sir William Gerald Golding for his dark novels, especially The Lord of the Flies (1954); he won the Nobel Prize of 1983 for literature.

People best know this British novelist, poet, and playwright for this novel. Golding spent two years, focusing on sciences, in Oxford but changed his educational emphasis to English, especially Anglo-Saxon, literature.

During World War II, he served as part of the royal Navy, which he left five years later. This experience strongly influenced his future novels. Later, he taught and focused on writing. Classical Greek literature, such as that of Euripides, and The Battle of Maldon , an Anglo-Saxon oeuvre of unknown author influenced him.

College students in the 1950s and 1960s gave the attention to Lord of the Flies, first novel of Golding; their attention drove that of literary critics. He was awarded the Booker Prize for literature in 1980 for his novel Rites of Passage , the first book of the trilogy To the Ends of the Earth. He received knighthood in 1988.

In 2008, The Times ranked Golding third on their list of ""The 50 greatest British writers since 1945.""",1911-09-19,1993-06-19
15,J.D. Salinger,"Jerome David Salinger was an American author, best known for his 1951 novel The Catcher in the Rye, as well as his reclusive nature. His last original published work was in 1965; he gave his last interview in 1980. Raised in Manhattan, Salinger began writing short stories while in secondary school, and published several stories in the early 1940s before serving in World War II. In 1948 he published the critically acclaimed story ""A Perfect Day for Bananafish"" in The New Yorker magazine, which became home to much of his subsequent work. In 1951 Salinger released his novel The Catcher in the Rye, an immediate popular success. His depiction of adolescent alienation and loss of innocence in the protagonist Holden Caulfield was influential, especially among adolescent readers. The novel remains widely read and controversial, selling around 250,000 copies a year.

The success of The Catcher in the Rye led to public attention and scrutiny: Salinger became reclusive, publishing new work less frequently. He followed Catcher with a short story collection, Nine Stories (1953), a collection of a novella and a short story, Franny and Zooey (1961), and a collection of two novellas, Raise High the Roof Beam, Carpenters and Seymour: An Introduction (1963). His last published work, a novella entitled ""Hapworth 16, 1924"", appeared in The New Yorker on June 19, 1965.

Afterward, Salinger struggled with unwanted attention, including a legal battle in the 1980s with biographer Ian Hamilton, and the release in the late 1990s of memoirs written by two people close to him: Joyce Maynard, an ex-lover; and Margaret Salinger, his daughter. In 1996, a small publisher announced a deal with Salinger to publish ""Hapworth 16, 1924"" in book form, but amid the ensuing publicity, the release was indefinitely delayed. He made headlines around the globe in June 2009, after filing a lawsuit against another writer for copyright infringement resulting from that writer's use of one of Salinger's characters from The Catcher in the Rye. Salinger died of natural causes on January 27, 2010, at his home in Cornish, New Hampshire.",1919-01-01,2010-01-27
16,Ray Bradbury,"Ray Douglas Bradbury, American novelist, short story writer, essayist, playwright, screenwriter and poet, was born August 22, 1920 in Waukegan, Illinois. He graduated from a Los Angeles high school in 1938. Although his formal education ended there, he became a ""student of life,"" selling newspapers on L.A. street corners from 1938 to 1942, spending his nights in the public library and his days at the typewriter. He became a full-time writer in 1943, and contributed numerous short stories to periodicals before publishing a collection of them, Dark Carnival, in 1947.

His reputation as a writer of courage and vision was established with the publication of The Martian Chronicles in 1950, which describes the first attempts of Earth people to conquer and colonize Mars, and the unintended consequences. Next came The Illustrated Man and then, in 1953, Fahrenheit 451, which many consider to be Bradbury's masterpiece, a scathing indictment of censorship set in a future world where the written word is forbidden. In an attempt to salvage their history and culture, a group of rebels memorize entire works of literature and philosophy as their books are burned by the totalitarian state. Other works include The October Country, Dandelion Wine, A Medicine for Melancholy, Something Wicked This Way Comes, I Sing the Body Electric!, Quicker Than the Eye, and Driving Blind. In all, Bradbury has published more than thirty books, close to 600 short stories, and numerous poems, essays, and plays. His short stories have appeared in more than 1,000 school curriculum ""recommended reading"" anthologies.

Ray Bradbury's work has been included in four Best American Short Story collections. He has been awarded the O. Henry Memorial Award, the Benjamin Franklin Award, the World Fantasy Award for Lifetime Achievement, the Grand Master Award from the Science Fiction Writers of America, the PEN Center USA West Lifetime Achievement Award, among others. In November 2000, the National Book Foundation Medal for Distinguished Contribution to American Letters was conferred upon Mr. Bradbury at the 2000 National Book Awards Ceremony in New York City.

Ray Bradbury has never confined his vision to the purely literary. He has been nominated for an Academy Award (for his animated film Icarus Montgolfier Wright), and has won an Emmy Award (for his teleplay of The Halloween Tree). He adapted sixty-five of his stories for television's Ray Bradbury Theater. He was the creative consultant on the United States Pavilion at the 1964 New York World's Fair. In 1982 he created the interior metaphors for the Spaceship Earth display at Epcot Center, Disney World, and later contributed to the conception of the Orbitron space ride at Euro-Disney, France.

Married since 1947, Mr. Bradbury and his wife Maggie lived in Los Angeles with their numerous cats. Together, they raised four daughters and had eight grandchildren. Sadly, Maggie passed away in November of 2003.

On the occasion of his 80th birthday in August 2000, Bradbury said, ""The great fun in my life has been getting up every morning and rushing to the typewriter because some new idea has hit me. The feeling I have every day is very much the same as it was when I was twelve. In any event, here I am, eighty years old, feeling no different, full of a great sense of joy, and glad for the long life that has been allowed me. I have good plans for the next ten or twenty years, and I hope you'll come along.""",1920-08-22,2012-06-05
17,Fyodor Dostoevsky,"Fyodor Mikhailovich Dostoevsky was a Russian novelist, short story writer, essayist, and journalist. His literary works explore human psychology in the troubled political, social, and spiritual atmospheres of 19th-century Russia, and engage with a variety of philosophical and religious themes. His most acclaimed novels include Crime and Punishment (1866), The Idiot (1869), Demons (1872), and The Brothers Karamazov (1880).

Many literary critics rate him as one of the greatest novelists in all of world literature, as multiple of his works are considered highly influential masterpieces. His 1864 novella Notes from Underground is considered to be one of the first works of existentialist literature. As such, he is also looked upon as a philosopher and theologian as well.",1821-11-11,1881-02-09
18,Mary Wollstonecraft Shelley,"Mary Shelley (née Mary Wollstonecraft Godwin, often known as Mary Wollstonecraft Shelley) was an English novelist, short story writer, dramatist, essayist, biographer, travel writer, and editor of the works of her husband, Romantic poet and philosopher Percy Bysshe Shelley. She was the daughter of the political philosopher William Godwin and the writer, philosopher, and feminist Mary Wollstonecraft.

Mary Shelley was taken seriously as a writer in her own lifetime, though reviewers often missed the political edge to her novels. After her death, however, she was chiefly remembered only as the wife of Percy Bysshe Shelley and as the author of Frankenstein. It was not until 1989, when Emily Sunstein published her prizewinning biography Mary Shelley: Romance and Reality, that a full-length scholarly biography analyzing all of Shelley's letters, journals, and works within their historical context was published.

The well-meaning attempts of Mary Shelley's son and daughter-in-law to ""Victorianise"" her memory through the censoring of letters and biographical material contributed to a perception of Mary Shelley as a more conventional, less reformist figure than her works suggest. Her own timid omissions from Percy Shelley's works and her quiet avoidance of public controversy in the later years of her life added to this impression.

The eclipse of Mary Shelley's reputation as a novelist and biographer meant that, until the last thirty years, most of her works remained out of print, obstructing a larger view of her achievement. She was seen as a one-novel author, if that. In recent decades, however, the republication of almost all her writings has stimulated a new recognition of its value. Her voracious reading habits and intensive study, revealed in her journals and letters and reflected in her works, is now better appreciated. Shelley's recognition of herself as an author has also been recognized; after Percy's death, she wrote about her authorial ambitions: ""I think that I can maintain myself, and there is something inspiriting in the idea"". Scholars now consider Mary Shelley to be a major Romantic figure, significant for her literary achievement and her political voice as a woman and a liberal. ",1797-08-30,1851-02-01
19,Bram Stoker,"He was born Abraham Stoker in 1847 at 15 Marino Crescent – then as now called ""The Crescent"" – in Fairview, a coastal suburb of Dublin, Ireland. His parents were Abraham Stoker and the feminist Charlotte Mathilda Blake Thornely. Stoker was the third of seven children. Abraham and Charlotte were members of the Clontarf Church of Ireland parish and attended the parish church (St. John the Baptist located on Seafield Road West) with their children, who were both baptised there.

Stoker was an invalid until he started school at the age of seven — when he made a complete and astounding recovery. Of this time, Stoker wrote, ""I was naturally thoughtful, and the leisure of long illness gave opportunity for many thoughts which were fruitful according to their kind in later years.""

After his recovery, he became a normal young man, even excelling as an athlete (he was named University Athlete) at Trinity College, Dublin (1864 – 70), from which he graduated with honours in mathematics. He was auditor of the College Historical Society and president of the University Philosophical Society, where his first paper was on ""Sensationalism in Fiction and Society"".

In 1876, while employed as a civil servant in Dublin, Stoker wrote a non-fiction book (The Duties of Clerks of Petty Sessions in Ireland, published 1879) and theatre reviews for The Dublin Mail, a newspaper partly owned by fellow horror writer J. Sheridan Le Fanu. His interest in theatre led to a lifelong friendship with the English actor Henry Irving. He also wrote stories, and in 1872 ""The Crystal Cup"" was published by the London Society, followed by ""The Chain of Destiny"" in four parts in The Shamrock.

In 1878 Stoker married Florence Balcombe, a celebrated beauty whose former suitor was Oscar Wilde. The couple moved to London, where Stoker became business manager (at first as acting-manager) of Irving's Lyceum Theatre, a post he held for 27 years. The collaboration with Irving was very important for Stoker and through him he became involved in London's high society, where he met, among other notables, James McNeil Whistler, and Sir Arthur Conan Doyle. In the course of Irving's tours, Stoker got the chance to travel around the world.

The Stokers had one son, Irving Noel, who was born on December 31, 1879.

Bram Stoker died in 1912, and was cremated and his ashes placed in a display urn at Golders Green Crematorium. After Irving Noel Stoker's death in 1961, his ashes were added to that urn. The original plan had been to keep his parents' ashes together, but after Florence Stoker's death her ashes were scattered at the Gardens of Rest.
See also http://en.wikipedia.org/wiki/Bram_Stoker ",1847-11-08,1912-04-20
20,Anne Frank,"Annelies Marie ""Anne"" Frank was a Jewish girl born in the city of Frankfurt, Germany. Her father moved to the Netherlands in 1933 and the rest of the family followed later. Anne was the last of the family to come to the Netherlands, in February 1934. She wrote a diary while in hiding with her family and four friends in Amsterdam during the German occupation of the Netherlands in World War II.
She lived in Amsterdam with her parents and sister. During the Holocaust, Anne and her family hid in the attic of her father's office to escape the Nazis. It was during that time period that she had recorded her life in her diary.
Anne died in Bergen-Belsen, in February 1945, at the age of 15.",1929-06-12,1945-02-20
21,Jack London,"John Griffith London was an American novelist, journalist, and social activist. A pioneer of commercial fiction and American magazines, he was one of the first American authors to become an international celebrity and earn a large fortune from writing. He was also an innovator in the genre that would later become known as science fiction.
His most famous works include The Call of the Wild and White Fang, both set in the Klondike Gold Rush, as well as the short stories ""To Build a Fire"", ""An Odyssey of the North"", and ""Love of Life"". He also wrote about the South Pacific in stories such as ""The Pearls of Parlay"", and ""The Heathen"".
London was part of the radical literary group ""The Crowd"" in San Francisco and a passionate advocate of unionization, workers' rights, and socialism. He wrote several works dealing with these topics, such as his dystopian novel The Iron Heel, his non-fiction exposé The People of the Abyss, War of the Classes, and Before Adam.
London died November 22, 1916, in a sleeping porch in a cottage on his ranch. London's ashes were buried on his property not far from the Wolf House. The grave is marked by a mossy boulder. The buildings and property were later preserved as Jack London State Historic Park, in Glen Ellen, California.",1876-01-12,1916-11-22
22,Erich Maria Remarque,"Erich Maria Remarque (pen name of Erich Paul Remark) is one of the best known and most widely read authors of German literature in the twentieth century.

Remarque's biography is essentially marked and his writing fundamentally influenced by German history of the twentieth century: Childhood and youth in imperial Osnabrück, World War I, the Weimar Republic, and most of all his exile in Switzerland and the United States. With the novel All Quiet On the Western Front, first published in 1929, Remarque attained world-wide recognition continuing today.

Examples of his other novels also internationally published are: The Road Back (1931), Three Comrades (1936, 38), Arch of Triumph (1945), The Black Obelisk (1956), and Night in Lisbon (1962).

Remarque's novels have been translated in more than fifty languages; globally the total edition comes up to several million copies.

The complete works of Remarque are both highly interrelated with his Osnabrück background and speaking thematically of a critical examination of German history, whereby the preservation of human dignity and humanity in times of oppression, terror and war always was at the forefront of his literary creation.",1898-06-22,1970-09-25
23,Robert Louis Stevenson,"Robert Louis Balfour Stevenson was a Scottish novelist, poet, and travel writer, and a leading representative of English literature. He was greatly admired by many authors, including Jorge Luis Borges, Ernest Hemingway, Rudyard Kipling and Vladimir Nabokov.

Most modernist writers dismissed him, however, because he was popular and did not write within their narrow definition of literature. It is only recently that critics have begun to look beyond Stevenson's popularity and allow him a place in the Western canon. ",1850-11-13,1894-12-03
24,Betty Smith,"Betty Smith (AKA Sophina Elisabeth Wehner): Born- December 15, 1896; Died- January 17, 1972

Born in Brooklyn, New York to German immigrants, she grew up poor in Williamsburg, Brooklyn. These experiences served as the framework to her first novel, A Tree Grows in Brooklyn (1943).

After marrying George H. E. Smith, a fellow Brooklynite, she moved with him to Ann Arbor, Michigan, where he pursued a law degree at the University of Michigan. At this time, she gave birth to two girls and waited until they were in school so she could complete her higher education. Although Smith had not finished high school, the university allowed her to enroll in classes. There she honed her skills in journalism, literature, writing, and drama, winning a prestigious Hopwood Award. She was a student in the classes of Professor Kenneth Thorpe Rowe.

In 1938 she divorced her husband and moved to Chapel Hill, North Carolina. There she married Joseph Jones in 1943, the same year in which A Tree Grows in Brooklyn was published. She teamed with George Abbott to write the book for the 1951 musical adaptation of the same name. Throughout her life, Smith worked as a dramatist, receiving many awards and fellowships including the Rockefeller Fellowship and the Dramatists Guild Fellowship for her work in drama. Her other novels include Tomorrow Will Be Better (1947), Maggie-Now (1958) and Joy in the Morning (1963).",1896-12-15,1972-01-17
25,Victor Hugo,"After Napoleon III seized power in 1851, French writer Victor Marie Hugo went into exile and in 1870 returned to France; his novels include The Hunchback of Notre Dame (1831) and Les Misérables (1862).

This poet, playwright, novelist, dramatist, essayist, visual artist, statesman, and perhaps the most influential, important exponent of the Romantic movement in France, campaigned for human rights. People in France regard him as one of greatest poets of that country and know him better abroad.",1802-02-26,1885-05-22
26,Mark Twain,"Samuel Langhorne Clemens, better known by his pen name Mark Twain, was an American author and humorist. He is noted for his novels Adventures of Huckleberry Finn (1885), called ""the Great American Novel"", and The Adventures of Tom Sawyer (1876).

Twain grew up in Hannibal, Missouri, which would later provide the setting for Huckleberry Finn and Tom Sawyer. He apprenticed with a printer. He also worked as a typesetter and contributed articles to his older brother Orion's newspaper. After toiling as a printer in various cities, he became a master riverboat pilot on the Mississippi River, before heading west to join Orion. He was a failure at gold mining, so he next turned to journalism. While a reporter, he wrote a humorous story, ""The Celebrated Jumping Frog of Calaveras County,"" which proved to be very popular and brought him nationwide attention. His travelogues were also well-received. Twain had found his calling.

He achieved great success as a writer and public speaker. His wit and satire earned praise from critics and peers, and he was a friend to presidents, artists, industrialists, and European royalty.

However, he lacked financial acumen. Though he made a great deal of money from his writings and lectures, he squandered it on various ventures, in particular the Paige Compositor, and was forced to declare bankruptcy. With the help of Henry Huttleston Rogers, however, he eventually overcame his financial troubles. Twain worked hard to ensure that all of his creditors were paid in full, even though his bankruptcy had relieved him of the legal responsibility.

Born during a visit by Halley's Comet, he died on its return. He was lauded as the ""greatest American humorist of his age"", and William Faulkner called Twain ""the father of American literature"".",1835-11-30,1910-04-21
27,Margaret Mitchell,"Librarian Note: There is more than one author in the Goodreads database with this name.

Margaret Munnerlyn Mitchell, popularly known as Margaret Mitchell, was an American author, who won the Pulitzer Prize in 1937 for her novel, Gone with the Wind, published in 1936. The novel is one of the most popular books of all time, selling more than 28 million copies. An American film adaptation, released in 1939, became the highest-grossing film in the history of Hollywood, and received a record-breaking number of Academy Awards.",1900-11-08,1949-08-16
28,Frances Hodgson Burnett,"Frances Eliza Hodgson was the daughter of ironmonger Edwin Hodgson, who died three years after her birth, and his wife Eliza Boond. She was educated at The Select Seminary for Young Ladies and Gentleman until the age of fifteen, at which point the family ironmongery, then being run by her mother, failed, and the family emigrated to Knoxville, Tennessee. Here Hodgson began to write, in order to supplement the family income, assuming full responsibility for the family upon the death of her mother, in 1870. In 1872 she married Dr. Swan Burnett, with whom she had two sons, Lionel and Vivian. The marriage was dissolved in 1898. In 1900 Burnett married actor Stephen Townsend until 1902 when they got divorced. Following her great success as a novelist, playwright, and children's author, Burnett maintained homes in both England and America, traveling back and forth quite frequently. She died in her Long Island, New York home, in 1924.

Primarily remembered today for her trio of classic children's novels - Little Lord Fauntleroy (1886), A Little Princess (1905), and The Secret Garden (1911) - Burnett was also a popular adult novelist, in her own day, publishing romantic stories such as The Making of a Marchioness (1901) for older readers. ",1849-11-24,1924-10-29
29,Charles Dickens,"Charles John Huffam Dickens was a writer and social critic who created some of the world's best-known fictional characters and is regarded as the greatest novelist of the Victorian era. His works enjoyed unprecedented popularity during his lifetime, and by the twentieth century critics and scholars had recognised him as a literary genius. His novels and short stories enjoy lasting popularity.

Dickens left school to work in a factory when his father was incarcerated in a debtors' prison. Despite his lack of formal education, he edited a weekly journal for 20 years, wrote 15 novels, five novellas, hundreds of short stories and non-fiction articles, lectured and performed extensively, was an indefatigable letter writer, and campaigned vigorously for children's rights, education, and other social reforms.

Dickens was regarded as the literary colossus of his age. His 1843 novella, A Christmas Carol, remains popular and continues to inspire adaptations in every artistic genre. Oliver Twist and Great Expectations are also frequently adapted, and, like many of his novels, evoke images of early Victorian London. His 1859 novel, A Tale of Two Cities, set in London and Paris, is his best-known work of historical fiction. Dickens's creative genius has been praised by fellow writers—from Leo Tolstoy to George Orwell and G. K. Chesterton—for its realism, comedy, prose style, unique characterisations, and social criticism. On the other hand, Oscar Wilde, Henry James, and Virginia Woolf complained of a lack of psychological depth, loose writing, and a vein of saccharine sentimentalism. The term Dickensian is used to describe something that is reminiscent of Dickens and his writings, such as poor social conditions or comically repulsive characters.

On 8 June 1870, Dickens suffered another stroke at his home after a full day's work on Edwin Drood. He never regained consciousness, and the next day he died at Gad's Hill Place. Contrary to his wish to be buried at Rochester Cathedral ""in an inexpensive, unostentatious, and strictly private manner,"" he was laid to rest in the Poets' Corner of Westminster Abbey. A printed epitaph circulated at the time of the funeral reads: ""To the Memory of Charles Dickens (England's most popular author) who died at his residence, Higham, near Rochester, Kent, 9 June 1870, aged 58 years. He was a sympathiser with the poor, the suffering, and the oppressed; and by his death, one of England's greatest writers is lost to the world."" His last words were: ""On the ground"", in response to his sister-in-law Georgina's request that he lie down.",1812-02-07,1870-06-09
30,J.K.Rowling,"Although she writes under the pen name J.K. Rowling, pronounced like rolling, her name when her first Harry Potter book was published was simply Joanne Rowling. Anticipating that the target audience of young boys might not want to read a book written by a woman, her publishers demanded that she use two initials, rather than her full name. As she had no middle name, she chose K as the second initial of her pen name, from her paternal grandmother Kathleen Ada Bulgen Rowling. She calls herself Jo and has said, ""No one ever called me 'Joanne' when I was young, unless they were angry."" Following her marriage, she has sometimes used the name Joanne Murray when conducting personal business. During the Leveson Inquiry she gave evidence under the name of Joanne Kathleen Rowling. In a 2012 interview, Rowling noted that she no longer cared that people pronounced her name incorrectly.

Rowling was born to Peter James Rowling, a Rolls-Royce aircraft engineer, and Anne Rowling (née Volant), on 31 July 1965 in Yate, Gloucestershire, England, 10 miles (16 km) northeast of Bristol. Her mother Anne was half-French and half-Scottish. Her parents first met on a train departing from King's Cross Station bound for Arbroath in 1964. They married on 14 March 1965. Her mother's maternal grandfather, Dugald Campbell, was born in Lamlash on the Isle of Arran. Her mother's paternal grandfather, Louis Volant, was awarded the Croix de Guerre for exceptional bravery in defending the village of Courcelles-le-Comte during the First World War.

Rowling's sister Dianne was born at their home when Rowling was 23 months old. The family moved to the nearby village Winterbourne when Rowling was four. She attended St Michael's Primary School, a school founded by abolitionist William Wilberforce and education reformer Hannah More. Her headmaster at St Michael's, Alfred Dunn, has been suggested as the inspiration for the Harry Potter headmaster Albus Dumbledore.

As a child, Rowling often wrote fantasy stories, which she would usually then read to her sister. She recalls that: ""I can still remember me telling her a story in which she fell down a rabbit hole and was fed strawberries by the rabbit family inside it. Certainly the first story I ever wrote down (when I was five or six) was about a rabbit called Rabbit. He got the measles and was visited by his friends, including a giant bee called Miss Bee."" At the age of nine, Rowling moved to Church Cottage in the Gloucestershire village of Tutshill, close to Chepstow, Wales. When she was a young teenager, her great aunt, who Rowling said ""taught classics and approved of a thirst for knowledge, even of a questionable kind,"" gave her a very old copy of Jessica Mitford's autobiography, Hons and Rebels. Mitford became Rowling's heroine, and Rowling subsequently read all of her books.

Rowling has said of her teenage years, in an interview with The New Yorker, ""I wasn’t particularly happy. I think it’s a dreadful time of life."" She had a difficult homelife; her mother was ill and she had a difficult relationship with her father (she is no longer on speaking terms with him). She attended secondary school at Wyedean School and College, where her mother had worked as a technician in the science department. Rowling said of her adolescence, ""Hermione [a bookish, know-it-all Harry Potter character] is loosely based on me. She's a caricature of me when I was eleven, which I'm not particularly proud of."" Steve Eddy, who taught Rowling English when she first arrived, remembers her as ""not exceptional"" but ""one of a group of girls who were bright, and quite good at English."" Sean Harris, her best friend in the Upper Sixth owned a turquoise Ford Anglia, which she says inspired the one in her books.",1965-07-31,
31,Lewis Carroll,"The Reverend Charles Lutwidge Dodgson, better known by the pen name Lewis Carroll, was an English author, mathematician, logician, Anglican clergyman and photographer.

His most famous writings are Alice's Adventures in Wonderland and its sequel Through the Looking-Glass as well as the poems ""The Hunting of the Snark"" and ""Jabberwocky"", all considered to be within the genre of literary nonsense.

Oxford scholar, Church of England Deacon, University Lecturer in Mathematics and Logic, academic author of learned theses, gifted pioneer of portrait photography, colourful writer of imaginative genius and yet a shy and pedantic man, Lewis Carroll stands pre-eminent in the pantheon of inventive literary geniuses.

He also has works published under his real name.",1832-01-27,1898-01-14
32,Antoine de Saint-Exupéry,"Antoine de Saint-Exupéry was born in Lyons on June 29, 1900. He flew for the first time at the age of twelve, at the Ambérieu airfield, and it was then that he became determined to be a pilot. He kept that ambition even after moving to a school in Switzerland and while spending summer vacations at the family's château at Saint-Maurice-de-Rémens, in eastern France. (The house at Saint-Maurice appears again and again in Saint-Exupéry's writing.)
Later, in Paris, he failed the entrance exams for the French naval academy and, instead, enrolled at the prestigious art school l'Ecole des Beaux-Arts. In 1921 Saint-Exupéry began serving in the military, and was stationed in Strasbourg. There he learned to be a pilot, and his career path was forever settled.
After leaving the service, in 1923, Saint-Exupéry worked in several professions, but in 1926 he went back to flying and signed on as a pilot for Aéropostale, a private airline that flew mail from Toulouse, France, to Dakar, Senegal. In 1927 Saint-Exupéry accepted the position of airfield chief for Cape Juby, in southern Morocco, and began writing his first book, a memoir called Southern Mail, which was published in 1929. He then moved briefly to Buenos Aires to oversee the establishment of an Argentinean mail service; when he returned to Paris in 1931, he published Night Flight, which won instant success and the prestigious Prix Femina.
Always daring, Saint-Exupéry tried in 1935 to break the speed record for flying from Paris to Saigon. Unfortunately, his plane crashed in the Libyan desert, and he and his copilot had to trudge through the sand for three days to find help. In 1938 he was seriously injured in a second plane crash, this time as he tried to fly between New York City and Tierra del Fuego, Argentina. The crash resulted in a long convalescence in New York.
Saint-Exupéry's next novel, Wind, Sand and Stars, was published in 1939. A great success, the book won the Académie Française's Grand Prix du Roman (Grand Prize for Novel Writing) and the National Book Award in the United States. At the beginning of the Second World War, Saint-Exupéry flew reconnaissance missions for France, but he went to New York to ask the United States for help when the Germans occupied his country. He drew on his wartime experiences to write Flight to Arras and Letter to a Hostage, both published in 1942. His classic The Little Prince appeared in 1943. Later in 1943 Saint-Exupéry rejoined his French air squadron in northern Africa. Despite being forbidden to fly (he was still suffering physically from his earlier plane crashes), Saint-Exupéry insisted on being given a mission. On July 31, 1944, he set out from Borgo, Corsica, to overfly occupied France. He never returned.",1900-06-29,1944-07-31
